URL,Automatic,Notes
http://www.nlm.nih.gov/about/jobs/jobs.html,Maybe,
http://www.nlm.nih.gov/about/training/associate/index.html,No,
http://www.nlm.nih.gov/careers/benefits.html,Maybe,
http://www.nlm.nih.gov/careers/careers.html,Maybe,
http://www.nlm.nih.gov/careers/descriptions.html,Maybe,
http://www.nlm.nih.gov/careers/fellowshipsinternships.html,Maybe,
http://www.nlm.nih.gov/careers/jobopenings.html,Maybe,
http://www.nlm.nih.gov/careers/spotlight.html,Yes,
http://www.nlm.nih.gov/databases/alerts/2014_nhlbi_bmt_ctn.html,Yes,
http://www.nlm.nih.gov/databases/alerts/clinical_alerts.html,Yes,
http://www.nlm.nih.gov/databases/leased.html,Yes,
http://www.nlm.nih.gov/docline/index.html,Yes,"Page with Sidebar, Note, really newdocline.html in this directory"
http://www.nlm.nih.gov/ep/AdminSupp.html,Yes,Page with Sidebar
http://www.nlm.nih.gov/ep/area.html,Yes,Page with Sidebar
http://www.nlm.nih.gov/ep/BD2KGrants.html,Yes,
http://www.nlm.nih.gov/ep/DeadlinesForms.html,Yes,Blue arrow and centered title?
http://www.nlm.nih.gov/ep/extramural.html,No,Redirect to index.html
http://www.nlm.nih.gov/ep/ForAdmins.html,Yes,centered title
http://www.nlm.nih.gov/ep/ForApplicants.html,Yes,
http://www.nlm.nih.gov/ep/funded.html,Yes,Links to views by year
http://www.nlm.nih.gov/ep/GrantConf.html,Yes,
http://www.nlm.nih.gov/ep/GrantExDev.html,Yes,
http://www.nlm.nih.gov/ep/GrantGenome.html,Yes,
http://www.nlm.nih.gov/ep/GrantInformatics.html,Yes,Must change h1 to h2 on these grant pages
http://www.nlm.nih.gov/ep/GrantInfoSys.html,Yes,
http://www.nlm.nih.gov/ep/GrantPubs.html,Yes,
http://www.nlm.nih.gov/ep/GrantResearch.html,Yes,
http://www.nlm.nih.gov/ep/GrantResearchParent.html,Yes,
http://www.nlm.nih.gov/ep/grantsbcomp.html,Yes,
http://www.nlm.nih.gov/ep/grantsbir.html,Yes,
http://www.nlm.nih.gov/ep/grantsbroad.html,Yes,
http://www.nlm.nih.gov/ep/Grants.html,Yes,
http://www.nlm.nih.gov/ep/grantsupdiversity.html,Yes,
http://www.nlm.nih.gov/ep/grantsupreentry.html,Yes,
http://www.nlm.nih.gov/ep/GrantTrainInstitute.html,Yes,Map on page needs some thought
http://www.nlm.nih.gov/ep/healthdisp.html,Yes,
http://www.nlm.nih.gov/ep/healthlit.html,Yes,
http://www.nlm.nih.gov/ep/Help.html,Yes,blue arrow needs work
http://www.nlm.nih.gov/ep/index.html,No,This is the home page
http://www.nlm.nih.gov/ep/Location.html,Yes,Basic page
http://www.nlm.nih.gov/ep/NRSAFellowshipGrants.html,Yes,Here the h3 maybe should be h2
http://www.nlm.nih.gov/ep/pathway.html,Yes,
http://www.nlm.nih.gov/ep/Reviewers.html,Yes,blue arrow style
http://www.nlm.nih.gov/ep/selfreg.html,Yes,
http://www.nlm.nih.gov/ep/Site.html,Yes,specialized div for left/right?
http://www.nlm.nih.gov/ep/Staff.html,Yes,rather not; but will do manually for now
http://www.nlm.nih.gov/ep/TransfrmRch.html,Yes,
http://www.nlm.nih.gov/exhibition/exhibition.html,No,
http://www.nlm.nih.gov/exhibition/lifeandlimb/credits.html,No,
http://www.nlm.nih.gov/exhibition/lifeandlimb/digitaldocuments.html,No,
http://www.nlm.nih.gov/exhibition/lifeandlimb/education.html,No,
http://www.nlm.nih.gov/exhibition/lifeandlimb/exhibition.html,No,
http://www.nlm.nih.gov/exhibition/lifeandlimb/index.html,No,
http://www.nlm.nih.gov/exhibition/lifeandlimb/travelinginformation.html,No,
http://www.nlm.nih.gov/exhibition/tour/index.html,No,
http://www.nlm.nih.gov/healthit/dec/index.html,Yes,
http://www.nlm.nih.gov/healthit/meaningful_use.html,Yes,Ask Winston about jig and PIE here
http://www.nlm.nih.gov/hmd/about/acquisitions.html,Yes,"Top images part of division theming, but not menu."
http://www.nlm.nih.gov/hmd/about/collectionhistory.html,Yes,
http://www.nlm.nih.gov/hmd/about/conservation.html,Yes,
http://www.nlm.nih.gov/hmd/about/contactus.html,Yes,rather not; but will do manually for now
http://www.nlm.nih.gov/hmd/about/donate.html,Yes,
http://www.nlm.nih.gov/hmd/about/exhibition/about-us.html,Not yet,
http://www.nlm.nih.gov/hmd/about/exhibition/againsttheodds.html,Not yet,
http://www.nlm.nih.gov/hmd/about/exhibition/avoyagetohealth.html,Not yet,
http://www.nlm.nih.gov/hmd/about/exhibition/bindingwounds.html,Not yet,
http://www.nlm.nih.gov/hmd/about/exhibition/booktraveling-faqs.html,Not yet,
http://www.nlm.nih.gov/hmd/about/exhibition/booktraveling.html,Not yet,
http://www.nlm.nih.gov/hmd/about/exhibition/breathoflife.html,Not yet,
http://www.nlm.nih.gov/hmd/about/exhibition/changingthefaceofmedicine.html,Not yet,
http://www.nlm.nih.gov/hmd/about/exhibition/contact-us.html,Not yet,
http://www.nlm.nih.gov/hmd/about/exhibition/contact-us-planavisit.html,Not yet,
http://www.nlm.nih.gov/hmd/about/exhibition/contact-us-staffdirectory.html,Not yet,
http://www.nlm.nih.gov/hmd/about/exhibition/dreamanatomy.html,Not yet,
http://www.nlm.nih.gov/hmd/about/exhibition/education-faqs.html,Not yet,
http://www.nlm.nih.gov/hmd/about/exhibition/education-home.html,Not yet,
http://www.nlm.nih.gov/hmd/about/exhibition/education-resources-all.html,Not yet,
http://www.nlm.nih.gov/hmd/about/exhibition/emotionsanddisease.html,Not yet,Like to do the full exhibition
http://www.nlm.nih.gov/hmd/about/exhibition/everydaymiracles.html,Not yet,
http://www.nlm.nih.gov/hmd/about/exhibition/exhibitions-alpha.html,Not yet,This is a view of exhibitions
http://www.nlm.nih.gov/hmd/about/exhibition/exhibitions-curious.html,Not yet,
http://www.nlm.nih.gov/hmd/about/exhibition/exhibitions.html,Not yet,This is a view of exhibitions
http://www.nlm.nih.gov/hmd/about/exhibition/exhibitions-previous.html,Not yet,Is this a view?
http://www.nlm.nih.gov/hmd/about/exhibition/find-an-exhibition.html,Not yet,Ought to be a view
http://www.nlm.nih.gov/hmd/about/exhibition/find-an-exhibition.html?exhibit=.html,Not yet,Don't do - this is a byproduct
http://www.nlm.nih.gov/hmd/about/exhibition/frankenstein.html,Not yet,
http://www.nlm.nih.gov/hmd/about/exhibition/fromdnatobeer.html,Not yet,
http://www.nlm.nih.gov/hmd/about/exhibition/georgewashington.html,Not yet,
http://www.nlm.nih.gov/hmd/about/exhibition/harrypotter.html,Not yet,
http://www.nlm.nih.gov/hmd/about/exhibition/healing.html,Not yet,
http://www.nlm.nih.gov/hmd/about/exhibition/healingthenation.html,Not yet,
http://www.nlm.nih.gov/hmd/about/exhibition/henkel.html,Not yet,
http://www.nlm.nih.gov/hmd/about/exhibition/index.html,Not yet,
http://www.nlm.nih.gov/hmd/about/exhibition/lifeandlimb.html,Not yet,
http://www.nlm.nih.gov/hmd/about/exhibition/literature.html,Not yet,
http://www.nlm.nih.gov/hmd/about/exhibition/onceandfutureweb.html,Not yet,
http://www.nlm.nih.gov/hmd/about/exhibition/openingdoors.html,Not yet,
http://www.nlm.nih.gov/hmd/about/exhibition/pickyourpoison.html,Not yet,
http://www.nlm.nih.gov/hmd/about/exhibition/shakespeare.html,Not yet,
http://www.nlm.nih.gov/hmd/about/exhibition/site-map.html,Not yet,
http://www.nlm.nih.gov/hmd/about/exhibition/sowhatsnew.html,Not yet,
http://www.nlm.nih.gov/hmd/about/exhibition/survivingandthriving.html,Not yet,
http://www.nlm.nih.gov/hmd/about/exhibition/travelingexhibitions.html,Not yet,A view of exhibitions
http://www.nlm.nih.gov/hmd/about/exhibition/upcomingexhibitions.html,Not yet,A view of exhibitions by status?
http://www.nlm.nih.gov/hmd/about/exhibition/visibleproofs.html,Not yet,
http://www.nlm.nih.gov/hmd/about/faqs/index.html,Yes,
http://www.nlm.nih.gov/hmd/about/hmdorgchart.html,Yes,
http://www.nlm.nih.gov/hmd/about/hmdstaffbio.html,Yes,
http://www.nlm.nih.gov/hmd/about/hmdstaff.html,Yes,Should be dynamic?
http://www.nlm.nih.gov/hmd/about/index.html,Yes,
http://www.nlm.nih.gov/hmd/about/readingroom.html,Yes,
http://www.nlm.nih.gov/hmd/about/visitus.html,Yes,
http://www.nlm.nih.gov/hmd/about/volunteer.html,Yes,
http://www.nlm.nih.gov/hmd/americas/americashome.html,Yes,Use Code Per Node for CSS
http://www.nlm.nih.gov/hmd/collections/archives/index.html,Yes,
http://www.nlm.nih.gov/hmd/collections/books/index.html,Yes,Note - top-images changed!
http://www.nlm.nih.gov/hmd/collections/digital/syllabi/index.html,Exclude,Not even sure we should do - it redirected
http://www.nlm.nih.gov/hmd/collections/films/index.html,Exclude,Requires SWF
http://www.nlm.nih.gov/hmd/collections/photos/index.html,Yes,
http://www.nlm.nih.gov/hmd/consortium/index.html,Yes,
http://www.nlm.nih.gov/hmd/explore-history.html,Yes,Looks like Code Per Node CSS might be required
http://www.nlm.nih.gov/hmd/happening/acquisitions/recentacquisitions.html,Yes,"Redirect to recentacquisitions12.html, needs custom CSS"
http://www.nlm.nih.gov/hmd/happening/exhibitions.html,Yes,
http://www.nlm.nih.gov/hmd/happening/lectures/lectures_2014.html,Yes,
http://www.nlm.nih.gov/hmd/happening/tours.html,Yes,
http://www.nlm.nih.gov/hmd/help/online/index.html,Yes,
http://www.nlm.nih.gov/hmd/help/printed/index.html,Yes,
http://www.nlm.nih.gov/hmd/help/reference/copyright.html,Yes,
http://www.nlm.nih.gov/hmd/help/reference/index.html,Yes,
http://www.nlm.nih.gov/hmd/hmd.html,No,Redirect to index
http://www.nlm.nih.gov/hmd/ihm/index.html,No,Panel page
http://www.nlm.nih.gov/hmd/index.html,No,Needs a theme… or extensive panels
http://www.nlm.nih.gov/hmd/informationfor/educatorsstudents.html,Yes,
http://www.nlm.nih.gov/hmd/informationfor/firsttimevisitors.html,Yes,
http://www.nlm.nih.gov/hmd/informationfor/imagefilmresearchers.html,Yes,
http://www.nlm.nih.gov/hmd/informationfor/librarians.html,Yes,
http://www.nlm.nih.gov/hmd/informationfor/scholars.html,Yes,
http://www.nlm.nih.gov/hmd/medtour/nih.html,No,Code Per Node needed
http://www.nlm.nih.gov/hmd/sitemap/index.html,No,"Needs new classes, maybe after"
http://www.nlm.nih.gov/hsrph.html,No,HTML table and CSS too complex
http://www.nlm.nih.gov/listserv/emaillists.html,Yes,Need new Branding/small issue
http://www.nlm.nih.gov/listserv/rss_podcasts.html,No,Links to feeds requires some care
http://www.nlm.nih.gov/mesh/index.html,No,"Code per node needed, and new branding"
http://www.nlm.nih.gov/mesh/MBrowser.html,Exclude,Look and feel totally wrong - part of application
http://www.nlm.nih.gov/mesh/MeshBrowser.html,Exclude,Look and feel totally wrong - part of application
http://www.nlm.nih.gov/mesh/meshhome.html,No,Redirect to /mesh/index
http://www.nlm.nih.gov/mesh/pubs.html,No,Not enough Mesh pages
http://www.nlm.nih.gov/mimcom/mimcomhomepage.html,Exclude,two source columns
http://www.nlm.nih.gov/mobile/index.html,No,View of mobile items?
http://www.nlm.nih.gov/nativevoices/acknowledgements.html,No,
http://www.nlm.nih.gov/nativevoices/credits.html,No,
http://www.nlm.nih.gov/nativevoices/exhibition/healing-totem/index.html,NO,
http://www.nlm.nih.gov/nativevoices/exhibition/index.html,No,
http://www.nlm.nih.gov/nativevoices/index.html,No,Make this link to welcome instead?
http://www.nlm.nih.gov/nativevoices/opening.html,No,
http://www.nlm.nih.gov/nativevoices/resources/index.html,No,
http://www.nlm.nih.gov/nativevoices/timeline/index.html,No,
http://www.nlm.nih.gov/nativevoices/visit/index.html,No,Almost have to do the whole thing
http://www.nlm.nih.gov/nativevoices/welcome.html,No,Do manually with JWPlayer
http://www.nlm.nih.gov/news/exhib-schedpub.html,No,Using DataTables within Content
http://www.nlm.nih.gov/news/videos/captions/SymposiumVideos2014_transcripts.html,No,View of mobile items?
http://www.nlm.nih.gov/nichsr/nichsr.html,No,Another branding
http://www.nlm.nih.gov/nichsr/outreach.html,No,Too few to automate
http://www.nlm.nih.gov/nno/index.html,No,Another branding
http://www.nlm.nih.gov/noscript-nav.html,No,This is an easy page with just menus
http://www.nlm.nih.gov/oam/oam.html,No,Do the whole thing?    New branding
http://www.nlm.nih.gov/onlineexhibitions.html,No,Custom stylesheet
http://www.nlm.nih.gov/portals/healthcare.html,No,Custom stylesheet
http://www.nlm.nih.gov/portals/librarians.html,No,Custom stylesheet
http://www.nlm.nih.gov/portals/publishers.html,No,Custom stylesheet
http://www.nlm.nih.gov/psd/cas/accessnlmcoll.html,Yes,
http://www.nlm.nih.gov/psd/cas/illhome.html,Yes,
http://www.nlm.nih.gov/psd/pcm/pcm.html,Yes,branding
http://www.nlm.nih.gov/psd/printretentionmain.html,Yes,
http://www.nlm.nih.gov/psd/psdhome.html,Yes,
http://www.nlm.nih.gov/pubs/factsheets/factsheets.html,No,View by first letter?
http://www.nlm.nih.gov/pubs/factsheets/factsubj.html,No,By subject - add subject taxonomy or go by MeSH topics - must research
http://www.nlm.nih.gov/pubs/factsheets/j_sel_faq.html,No,Already failed automatic migration
http://www.nlm.nih.gov/pubs/publications.html,No,Easier to do manually due to redArrow
http://www.nlm.nih.gov/pubs/reports.html,Yes,Will need some manual CSS
http://www.nlm.nih.gov/pubs/techbull/tbindex1996/a_96.html,Exclude,
http://www.nlm.nih.gov/pubs/techbull/tbindex/a.html,Exclude,
http://www.nlm.nih.gov/regional-activities.html,No,Requires redArrow and map
http://www.nlm.nih.gov/research/ngiinit.html,Yes,
http://www.nlm.nih.gov/research/umls/faq_main.html,Yes,UMLS branding
